example,sid,tag,old_score,is_leaf,alt_bindings,alt_refactorings,alt_dataflows,pOutputNumber,pAlternative,pWave,pAllowDataFlow,pCritical,pPercentOfBindedInputs,pPossibleDeadlock,pNumberOfBindedFunctions,pRestless,label,pNotTransferableInputs,pRestrictedTime,pWaitTime,pRefactoringType
counter.lua,-2-4-3-3-1-0-1-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,6.0,
counter.lua,-2-4-3-3-2,BindDecisionView,3547,False,2,0,0,1.0,1.0,0.0,2.0,False,0.5,False,0.0,0.0,-1.1031753763388616,,,,
counter.lua,-2-4-3-3-2-0,BindDecisionView,3032,False,1,0,1,1.0,2.0,0.0,0.0,False,1.0,False,2.0,0.0,-1.0108805072264646,,,,
counter.lua,-2-4-3-3-2-0-0,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-2-4-3-3-2-0-0-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-4-3-3-2-0-0-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-2-4-3-3-2-0-1,DataflowDecisionView,1998,False,0,0,1,,,,,,,,,,-0.7339958998892735,0.0,False,2.0,
counter.lua,-2-4-3-3-2-0-1-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.7339958998892735,1.0,False,3.0,
counter.lua,-2-4-3-3-2-0-1-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,6.0,
counter.lua,-2-4-3-3-2-1,BindDecisionView,3052,False,1,0,1,1.0,2.0,0.0,0.0,False,1.0,False,0.0,0.0,-1.0108805072264646,,,,
counter.lua,-2-4-3-3-2-1-0,DataflowDecisionView,1997,False,0,0,1,,,,,,,,,,-2.1184189365752295,0.0,False,3.0,
counter.lua,-2-4-3-3-2-1-0-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-4-3-3-2-1-0-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-2-4-3-3-2-1-1,DataflowDecisionView,1998,False,0,0,1,,,,,,,,,,-0.7339958998892735,0.0,False,2.0,
counter.lua,-2-4-3-3-2-1-1-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.7339958998892735,1.0,False,3.0,
counter.lua,-2-4-3-3-2-1-1-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.7339958998892735,0.0,False,6.0,
counter.lua,-2-4-3-3-2-2,DataflowDecisionView,1992,False,2,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,3.0,
counter.lua,-2-4-3-3-2-2-0,BindDecisionView,3032,False,1,0,0,1.0,2.0,0.0,0.0,False,1.0,False,2.0,0.0,-2.1184189365752295,,,,
counter.lua,-2-4-3-3-2-2-0-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-4-3-3-2-2-0-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-2-4-3-3-2-2-1,BindDecisionView,3052,False,1,0,0,1.0,2.0,0.0,0.0,False,1.0,False,0.0,0.0,-2.1184189365752295,,,,
counter.lua,-2-4-3-3-2-2-1-0,DataflowDecisionView,1991,False,0,0,0,,,,,,,,,,-2.1184189365752295,1.0,False,4.0,
counter.lua,-2-4-3-3-2-2-1-0-0,DataflowDecisionView,1993,True,0,0,0,,,,,,,,,,-2.1184189365752295,0.0,False,7.0,
counter.lua,-3,BindDecisionView,4054,False,5,0,0,2.0,2.0,,0.0,True,0.0,False,0.0,0.0,0.46989624562633536,,,,
counter.lua,-3-0,BindDecisionView,3052,False,3,1,0,1.0,2.0,0,0.0,False,1.0,False,0.0,0.0,0.6440540917647086,,,,
counter.lua,-3-0-0,BindDecisionView,3622,False,1,1,0,1.0,1.0,,2.0,False,1.0,False,0.0,0.0,0.7403702309561364,,,,
counter.lua,-3-0-0-0,BindDecisionView,3560,False,0,1,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.8574088325622885,,,,
counter.lua,-3-0-0-0-0,DataflowDecisionView,1994,False,0,1,0,,,,,,,,,,0.8574088325622885,1.0,False,1.0,
counter.lua,-3-0-0-0-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,0.8574088325622885,,,,BreakLoopView
counter.lua,-3-0-0-0-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-3-0-0-0-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-3-0-0-0-1,BreakLoopView,5000,False,0,0,1,,,,,,,,,,0.8574088325622885,,,,BreakLoopView
counter.lua,-3-0-0-0-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-3-0-0-0-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-3-0-0-0-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-3-0-0-0-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-3-0-0-0-1-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-3-0-0-0-1-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-3-0-0-1,DataflowDecisionView,1994,False,1,1,0,,,,,,,,,,0.8298112731268743,1.0,False,1.0,
counter.lua,-3-0-0-1-0,BindDecisionView,3560,False,0,1,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.8574088325622885,,,,
counter.lua,-3-0-0-1-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,0.8574088325622885,,,,BreakLoopView
counter.lua,-3-0-0-1-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-3-0-0-1-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-3-0-0-1-1,BreakLoopView,5000,False,1,0,0,,,,,,,,,,0.8160124934091673,,,,BreakLoopView
counter.lua,-3-0-0-1-1-0,BindDecisionView,3552,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,2.0,0.8574088325622885,,,,
counter.lua,-3-0-0-1-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-3-0-0-1-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-3-0-0-1-1-1,DataflowDecisionView,1993,False,1,0,0,,,,,,,,,,0.6504271367966824,1.0,False,2.0,
counter.lua,-3-0-0-1-1-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.6504271367966824,,,,
counter.lua,-3-0-0-1-1-1-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,3.0,
counter.lua,-3-0-0-1-1-1-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.6504271367966824,0.0,False,5.0,
counter.lua,-3-0-0-2,BreakLoopView,5000,False,1,0,1,,,,,,,,,,0.651878955051755,,,,BreakLoopView
counter.lua,-3-0-0-2-0,BindDecisionView,3556,False,0,0,2,0.0,1.0,0.0,1.0,False,1.0,False,0.0,1.0,0.8574088325622885,,,,
counter.lua,-3-0-0-2-0-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-3-0-0-2-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-3-0-0-2-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
