example,sid,tag,old_score,is_leaf,alt_bindings,alt_refactorings,alt_dataflows,pOutputNumber,pAlternative,pWave,pAllowDataFlow,pCritical,pPercentOfBindedInputs,pPossibleDeadlock,pNumberOfBindedFunctions,pRestless,label,pRefactoringType,pNotTransferableInputs,pRestrictedTime,pWaitTime
fibonacci.lua,-0-0-1-0-0-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,,,0.0,False,5.0
fibonacci.lua,-0-0-1-0-1,BreakLoopView,5000,False,0,0,1,,,,,,,,,,-0.07123732413668404,BreakLoopView,,,
fibonacci.lua,-0-0-1-0-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.07123732413668404,,0.0,False,1.0
fibonacci.lua,-0-0-1-0-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,-0.07123732413668404,,1.0,False,2.0
fibonacci.lua,-0-0-1-0-1-0-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,-0.07123732413668404,,0.0,False,3.0
fibonacci.lua,-0-0-1-0-1-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,,,0.0,False,5.0
fibonacci.lua,-0-0-1-0-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.07123732413668404,,0.0,False,1.0
fibonacci.lua,-0-0-1-0-1-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,-0.07123732413668404,,1.0,False,2.0
fibonacci.lua,-0-0-1-0-1-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,-0.07123732413668404,,0.0,False,5.0
fibonacci.lua,-0-0-1-1,BreakLoopView,5000,False,1,0,0,,,,,,,,,,-0.5474897161399463,BreakLoopView,,,
fibonacci.lua,-0-0-1-1-0,BindDecisionView,3572,False,0,0,0,1.0,1.0,0.0,2.0,False,1.0,False,0.0,0.0,-0.07123732413668404,,,,
fibonacci.lua,-0-0-1-1-0-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.07123732413668404,,0.0,False,1.0
fibonacci.lua,-0-0-1-1-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,-0.07123732413668404,,1.0,False,2.0
fibonacci.lua,-0-0-1-1-0-0-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,-0.07123732413668404,,0.0,False,3.0
fibonacci.lua,-0-0-1-1-0-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,,,0.0,False,5.0
fibonacci.lua,-0-0-1-1-0-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.07123732413668404,,0.0,False,1.0
fibonacci.lua,-0-0-1-1-0-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,-0.07123732413668404,,1.0,False,2.0
fibonacci.lua,-0-0-1-1-0-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,-0.07123732413668404,,0.0,False,5.0
fibonacci.lua,-0-0-2,BreakLoopView,5000,False,1,1,0,,,,,,,,,,-0.3535911774947114,BreakLoopView,,,
fibonacci.lua,-0-0-2-0,BindDecisionView,3622,False,0,1,0,1.0,1.0,,2.0,False,1.0,False,0.0,0.0,-0.24279201255457716,,,,
fibonacci.lua,-0-0-2-0-0,DataflowDecisionView,1994,False,0,1,0,,,,,,,,,,-0.07123732413668404,,1.0,False,1.0
fibonacci.lua,-0-0-2-0-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,-0.07123732413668404,BreakLoopView,,,
fibonacci.lua,-0-0-2-0-0-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,-0.07123732413668404,,1.0,False,2.0
fibonacci.lua,-0-0-2-0-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,-0.07123732413668404,,0.0,False,5.0
fibonacci.lua,-0-0-2-0-1,BreakLoopView,5000,False,0,0,1,,,,,,,,,,-0.11263366328980526,BreakLoopView,,,
fibonacci.lua,-0-0-2-0-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.07123732413668404,,0.0,False,1.0
fibonacci.lua,-0-0-2-0-1-0-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,-0.07123732413668404,,1.0,False,2.0
fibonacci.lua,-0-0-2-0-1-0-0-0,DataflowDecisionView,1997,False,0,0,0,,,,,,,,,,-0.07123732413668404,,0.0,False,3.0
fibonacci.lua,-0-0-2-0-1-0-0-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,,,0.0,False,5.0
