example,sid,tag,old_score,is_leaf,alt_bindings,alt_refactorings,alt_dataflows,pOutputNumber,pAlternative,pWave,pAllowDataFlow,pCritical,pPercentOfBindedInputs,pPossibleDeadlock,pNumberOfBindedFunctions,pRestless,label,pNotTransferableInputs,pRestrictedTime,pWaitTime
spi2.lua,-1-2-1-1-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.07123732413668404,0.0,False,6.0
spi2.lua,-1-2-1-1-1,DataflowDecisionView,1992,False,1,0,0,,,,,,,,,,-0.11263366328980526,1.0,False,3.0
spi2.lua,-1-2-1-1-1-0,BindDecisionView,3540,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,2.0,0.0,-0.07123732413668404,,,
spi2.lua,-1-2-1-1-1-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.07123732413668404,0.0,False,6.0
spi2.lua,-1-2-1-2,DataflowDecisionView,1999,False,1,0,1,,,,,,,,,,-0.24279201255457716,0.0,False,1.0
spi2.lua,-1-2-1-2-0,BindDecisionView,3540,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,2.0,0.0,-0.07123732413668404,,,
spi2.lua,-1-2-1-2-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.07123732413668404,1.0,False,3.0
spi2.lua,-1-2-1-2-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.07123732413668404,0.0,False,6.0
spi2.lua,-1-2-1-2-1,DataflowDecisionView,1992,False,1,0,0,,,,,,,,,,-0.11263366328980526,1.0,False,3.0
spi2.lua,-1-2-1-2-1-0,BindDecisionView,3540,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,2.0,0.0,-0.07123732413668404,,,
spi2.lua,-1-2-1-2-1-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.07123732413668404,0.0,False,6.0
spi2.lua,-1-2-2,DataflowDecisionView,1994,False,2,0,0,,,,,,,,,,0.798474781563598,1.0,False,1.0
spi2.lua,-1-2-2-0,BindDecisionView,3500,False,1,0,0,0.0,1.0,1.0,1.0,False,1.0,False,1.0,0.0,1.0159028079886685,,,
spi2.lua,-1-2-2-0-0,BindDecisionView,3532,False,0,0,0,1.0,1.0,0.0,0.0,False,1.0,False,2.0,0.0,1.0159028079886685,,,
spi2.lua,-1-2-2-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,1.0159028079886685,1.0,False,3.0
spi2.lua,-1-2-2-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,1.0159028079886685,0.0,False,6.0
spi2.lua,-1-2-2-1,BindDecisionView,3542,False,1,0,0,1.0,1.0,0.0,0.0,False,1.0,False,1.0,0.0,-0.07123732413668404,,,
spi2.lua,-1-2-2-1-0,BindDecisionView,3540,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,2.0,0.0,-0.07123732413668404,,,
