example,score,synthesis_method,runs,success_rate,timeout_rate,time_mean,time_std,time_min,time_max,synthesis_steps_mean,synthesis_steps_std,synthesis_steps_min,synthesis_steps_max,mean_depth_mean,mean_depth_std,mean_depth_min,mean_depth_max,min_duration_mean,min_duration_std,min_duration_min,min_duration_max,leafs_mean,leafs_std,leafs_min,leafs_max,leaf_success_rate_mean,leaf_success_rate_std,leaf_success_rate_min,leaf_success_rate_max,nodes_total_mean,nodes_total_std,nodes_total_min,nodes_total_max,nodes_not_processed_mean,nodes_not_processed_std,nodes_not_processed_min,nodes_not_processed_max
fibonacci.lua,model_v1,sota,3,1,0,2.8803405560126216,0.1434101107493589,2.787681327026803,3.0455279019661248,62,0.0,62,62,8.625,0.0,8.625,8.625,5,0.0,5,5,8,0.0,8,8,1.0,0.0,1.0,1.0,97,0.0,97,97,34,0.0,34,34
fibonacci.lua,model_v1,top-down-1.2,3,1,0,0.6282111776721043,0.042090391902900925,0.5962476840359159,0.6759002169710584,8,0.0,8,8,9.0,0.0,9.0,9.0,5,0.0,5,5,1,0.0,1,1,1.0,0.0,1.0,1.0,20,0.0,20,20,11,0.0,11,11
fibonacci.lua,model_v1,top-down-1.4,3,1,0,0.7296881176880561,0.15245839471107678,0.6284269040334038,0.9050311419996433,8,0.0,8,8,9.0,0.0,9.0,9.0,5,0.0,5,5,1,0.0,1,1,1.0,0.0,1.0,1.0,20,0.0,20,20,11,0.0,11,11
fibonacci.lua,model_v2,sota,3,1,0,2.7966469269789136,0.03618118156736366,2.7645322309690528,2.8358465009951033,62,0.0,62,62,8.5,0.0,8.5,8.5,5,0.0,5,5,8,0.0,8,8,1.0,0.0,1.0,1.0,98,0.0,98,98,35,0.0,35,35
fibonacci.lua,model_v2,top-down-1.2,3,1,0,0.613437463354785,0.018453501288758303,0.6018833340494893,0.6347196330316365,8,0.0,8,8,9.0,0.0,9.0,9.0,5,0.0,5,5,1,0.0,1,1,1.0,0.0,1.0,1.0,20,0.0,20,20,11,0.0,11,11
fibonacci.lua,model_v2,top-down-1.4,3,1,0,0.7117727203488661,0.12293261008540567,0.6284316630335525,0.8529577089939266,8,0.0,8,8,9.0,0.0,9.0,9.0,5,0.0,5,5,1,0.0,1,1,1.0,0.0,1.0,1.0,20,0.0,20,20,11,0.0,11,11
increment.lua,default,sota,3,1,0,0.3724163896792258,0.016157937479734433,0.35912759898928925,0.390402521006763,117,0.0,117,117,12.0,0.0,12.0,12.0,8,0.0,8,8,11,0.0,11,11,1.0,0.0,1.0,1.0,363,0.0,363,363,245,0.0,245,245
increment.lua,default,top-down-1.2,3,1,0,0.3496277196488033,0.012184915997832991,0.3400341349770315,0.36333767796168104,16,0.0,16,16,12.0,0.0,12.0,12.0,8,0.0,8,8,1,0.0,1,1,1.0,0.0,1.0,1.0,67,0.0,67,67,50,0.0,50,50
increment.lua,default,top-down-1.4,3,1,0,0.3454426556515197,0.003973574390329448,0.34232770098606125,0.34991768101463094,12,0.0,12,12,12.0,0.0,12.0,12.0,8,0.0,8,8,1,0.0,1,1,1.0,0.0,1.0,1.0,53,0.0,53,53,40,0.0,40,40
increment.lua,model_v1,sota,3,1,0,5.108526636671741,0.0874771249948178,5.007590749999508,5.162342338007875,128,0.0,128,128,12.0,0.0,12.0,12.0,9,0.0,9,9,12,0.0,12,12,1.0,0.0,1.0,1.0,375,0.0,375,375,246,0.0,246,246
increment.lua,model_v1,top-down-1.2,3,1,0,1.073369646309099,0.5185680811929508,0.7681270629982464,1.6721221729530953,11,0.0,11,11,12.0,0.0,12.0,12.0,9,0.0,9,9,1,0.0,1,1,1.0,0.0,1.0,1.0,48,0.0,48,48,36,0.0,36,36
increment.lua,model_v1,top-down-1.4,3,1,0,0.7457617806697575,0.024277724655282763,0.7310417880071327,0.7737833179999143,11,0.0,11,11,12.0,0.0,12.0,12.0,9,0.0,9,9,1,0.0,1,1,1.0,0.0,1.0,1.0,48,0.0,48,48,36,0.0,36,36
increment.lua,model_v2,sota,3,1,0,5.059073774338079,0.0787665792338446,4.982291085994802,5.139684641035274,127,0.0,127,127,12.0,0.0,12.0,12.0,8,0.0,8,8,12,0.0,12,12,1.0,0.0,1.0,1.0,354,0.0,354,354,226,0.0,226,226
increment.lua,model_v2,top-down-1.2,3,1,0,0.7836219913442619,0.027955284240425607,0.7584193170187064,0.8136909219902009,12,0.0,12,12,12.0,0.0,12.0,12.0,9,0.0,9,9,1,0.0,1,1,1.0,0.0,1.0,1.0,50,0.0,50,50,37,0.0,37,37
increment.lua,model_v2,top-down-1.4,3,1,0,0.7951799333289576,0.016547163016092208,0.7824627199443057,0.813888154050801,12,0.0,12,12,12.0,0.0,12.0,12.0,9,0.0,9,9,1,0.0,1,1,1.0,0.0,1.0,1.0,50,0.0,50,50,37,0.0,37,37
matrix-mult-1x2.lua,default,sota,3,1,0,0.397443412997139,0.0022456005969702496,0.39546653599245474,0.3998850170173682,155,0.0,155,155,15.0,0.0,15.0,15.0,15,0.0,15,15,12,0.0,12,12,1.0,0.0,1.0,1.0,489,0.0,489,489,333,0.0,333,333
matrix-mult-1x2.lua,default,top-down-1.2,3,1,0,0.36854545302533853,0.008325508713696248,0.3630542360479012,0.378124727983959,21,0.0,21,21,15.0,0.0,15.0,15.0,15,0.0,15,15,1,0.0,1,1,1.0,0.0,1.0,1.0,94,0.0,94,94,72,0.0,72,72
matrix-mult-1x2.lua,default,top-down-1.4,3,1,0,0.3805767686765951,0.022388011883742853,0.36427947401534766,0.4061041880049743,14,0.0,14,14,15.0,0.0,15.0,15.0,15,0.0,15,15,1,0.0,1,1,1.0,0.0,1.0,1.0,63,0.0,63,63,48,0.0,48,48
matrix-mult-1x2.lua,model_v1,sota,3,1,0,6.780627699336037,0.38174731182404065,6.556956367974635,7.221415279025678,166,0.0,166,166,15.0,0.0,15.0,15.0,15,0.0,15,15,13,0.0,13,13,1.0,0.0,1.0,1.0,434,0.0,434,434,267,0.0,267,267
matrix-mult-1x2.lua,model_v1,top-down-1.2,3,1,0,1.7659153386678856,1.5186440182681251,0.8721018279902637,3.519383501028642,14,0.0,14,14,15.0,0.0,15.0,15.0,15,0.0,15,15,1,0.0,1,1,1.0,0.0,1.0,1.0,52,0.0,52,52,37,0.0,37,37
matrix-mult-1x2.lua,model_v1,top-down-1.4,3,1,0,0.873525615024846,0.01668300964518788,0.8556878950330429,0.8887440480175428,14,0.0,14,14,15.0,0.0,15.0,15.0,15,0.0,15,15,1,0.0,1,1,1.0,0.0,1.0,1.0,52,0.0,52,52,37,0.0,37,37
